勤め先会社名,提携窓口会社名,対象確認方法,紹介状提出期限,特典率,手数料率,対象者,連絡先,連絡先②,担当名
澤藤電機,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
檸檬会ユニオン,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
和田精密歯研,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
和倉ダスキン,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
和光食品工業,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
和歌山市職員互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
六甲学院中学校・高等学校,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
鈴与シンワート,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
鈴木シャッター,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
林工業,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
林原,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
立川市職員共済会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
陸上自衛隊,コーサイ・サービス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5315-4244,,佐藤
理研鍛造,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
利楼可信（北京）房地産経紀有限公司,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
利楼可信（上海）企業管理諮詢有限公司,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
洛和会ヘルスケアシステム,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
淀川製鋼所,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
陽光ビルME,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
陽栄ホールディング,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
陽栄,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
郵便局物販サービス,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4704,,小林・竹内・松田・五十嵐
有限会社 敬愛,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7629,,飯野
有限会社 錦秋会,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7642,,飯野
友工商事,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
矢作建設工業共済会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
野村不動産パートナーズ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
門真市職員厚生会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
茂原訪問看護ステーション,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4981,,小林・竹内・松田・五十嵐
茂原中央病院,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4939,,小林・竹内・松田・五十嵐
免制震ディバイス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
明和工務店,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
明友機工,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
明治フレッシュネットワーク,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
名鉄バス,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
名古屋鉄道,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
名古屋総合システム,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
味の素冷凍食品,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
味の素冷凍食品,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7571,,飯野
味の素食品北海道,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7570,,飯野
味の素食品,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
味の素食品,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7566,,飯野
味の素構内サービス,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7592,,飯野
味の素みらい,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7590,,飯野
味の素ヘルシーサプライ,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7574,,飯野
味の素ベーカリー,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7561,,飯野
味の素ベーカリー,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7568,,飯野
味の素フィナンシャル・ソリューションズ,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7585,,飯野
味の素ファインテクノ,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7576,,飯野
味の素トレーディング,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7584,,飯野
味の素デジタルビジネスパートナー,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7591,,飯野
味の素ダイレクト,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7589,,飯野
味の素コミュニケーションズ,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7583,,飯野
味の素コージンバイオ,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7579,,飯野
味の素エンジニアリング,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7582,,飯野
味の素ＡＧＦ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
味の素AGF,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7573,,飯野
味の素AFMトレーディング,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7588,,飯野
味の素,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
味の素,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7562,,飯野
毎日放送,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4677,,小林・竹内・松田・五十嵐
毎日学術フォーラム,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-5071,,小林・竹内・松田・五十嵐
